Material Name,Symbol,Category,Molecular Weight (g/mol),Overall t_min (K),Overall t_max (K),Phases,Shomate Intervals,Max Fit Error Across Intervals (%),Reference Code,Source / Notes
B2O3,B2O3,Ceramics,69.6202,100,6000,"L, cr",2,2.493,tpis96,"Hexagonal. Gurvich,1996a pt1 p21 pt2 p16."
B2S3,B2S3,Ceramics,117.817,298.15,6000,"L, cr",2,0.281,tpis96,"Monoclinic. Gurvich,1996a pt1 p101 pt2 p80."
B3O3H3,B3O3H3,Ceramics,83.455,298.15,2000,cr,3,0.378,j,"Chase,1998 p287."
B4C,B4C,Refractories,55.2547,200,6000,"L, cr",5,3.263,tpis96,"Hexagonal. Gurvich,1996a pt1 p111 pt2 p89"
Barium,Ba,Metals and alloys,137.327,80,6000,"L, cr",3,0.462,srd,"Crystal. Ref-Elm. Alcock,1993."
BaBr2,BaBr2,Other technologically relevant materials,297.135,298,6000,"L, cr",2,0.074,tpis96,"Rhombic. Gurvich,1996a pt1 p578 pt2 p438."
BaCO3,BaCO3,Other technologically relevant materials,197.3359,200,6000,"L, a, b, c",5,1.601,tpis96,"CrIII,rhombic. Gurvich,1996a pt1 p588 pt2 p446."
BaCL2,BaCL2,Other technologically relevant materials,208.233,100,6000,"L, a, b",4,2.681,tpis96,"CrII,rhombic. Gurvich,1996a pt1 p574 pt2 p435."
BaF2,BaF2,Other technologically relevant materials,175.3238,100,6000,"L, a, b, c",6,0.401,tpis96,"CrIII,cubic. Gurvich,1996a pt1 p567 pt2 p431."
BaH2,BaH2,Other technologically relevant materials,139.3429,298.15,6000,"L, a, b",3,0,tpis96,"CrII,rhombic Gurvich,1996a pt1 p556 pt2 p424."
BaI2,BaI2,Other technologically relevant materials,391.1359,100,6000,"L, cr",3,1.094,tpis96,"Rhombic. Gurvich,1996a pt1 p582 pt2 p441."
BaO,BaO,Other technologically relevant materials,153.3264,200,6000,"L, cr",4,0.381,tpis96,"Cubic Gurvich,1996a pt1 p547 pt2 p418."
Ba(OH)2,Ba(OH)2,Other technologically relevant materials,171.3417,100,6000,"L, a, b",3,3.053,tpis96,"CrII,rhombic Gurvich,1996a pt1 p558 pt2 p427."
BaS,BaS,Other technologically relevant materials,169.392,200,6000,"L, cr",3,0.172,tpis96,"Cubic. Gurvich,1996a pt1 p584 pt2 p443."
BaSO4,BaSO4,Other technologically relevant materials,233.3896,200,6000,"L, a, b",4,1.041,tpis96,"CrII,rhombic. Gurvich,1996a pt1 p587 pt2 p445."
Beryllium,Be,Metals and alloys,9.0122,100,6000,"L, a, b",6,1.877,srd,"Alpha. Ref-Elm. Alcock,1993."
BeAL2O4,BeAL2O4,Refractories,126.9729,200,6000,"L, cr",4,0.195,j12/79,"Chase,1998 pp139-41."
BeBr2,BeBr2,Other technologically relevant materials,168.8202,298.15,6000,"L, cr",2,0.492,tpis96,"Cr,rhombic. Gurvich,1996a pt1 p376 pt2 p301."
BeCO3,BeCO3,Other technologically relevant materials,69.0211,298,6000,cr,4,3.165,tpis96,"Gurvich,1996a pt1 p385 pt2 p310."
BeCL2,BeCL2,Other technologically relevant materials,79.9182,200,6000,"L, a, b",3,0.404,tpis96,"Cr,rhombic. Gurvich,1996a pt1 p370 pt2 p296."
BeF2,BeF2,Other technologically relevant materials,47.009,200,6000,"L, a, b",4,2.75,tpis96,"CrII,hexagonal.Gurvich,1996a pt1 p364 pt2 p292."
BeI2,BeI2,Other technologically relevant materials,262.8211,298.15,6000,"L, cr",2,0.493,tpis96,"Cr,rhombic. Gurvich,1996a pt1 p379 pt2 p304."
BeO,BeO,Refractories,25.0116,200,6000,"L, a, b",4,2.346,tpis96,"CrII,hexagonal. Gurvich,1996a pt1 p348 pt2 p278."
Be(OH)2,Be(OH)2,Other technologically relevant materials,43.0269,200,6000,b,3,3.154,tpis96,"Rhombic,beta.Gurvich,1996a pt1 p359 pt2 p289."
BeS,BeS,Other technologically relevant materials,41.0772,298,6000,cr,4,1.74,tpis96,"Cr,cubic. Gurvich,1996a pt1 p381 pt2 p306."
BeSO4,BeSO4,Other technologically relevant materials,105.0748,200,6000,"L, a, b, c",4,1.909,tpis96,"CrIII,tetr. Gurvich,1996a pt1 p383 pt2 p308."
Be2C,Be2C,Ceramics,30.0351,298.15,6000,"L, cr",2,0,bar,"Barin,1989. Barin,1973."
Be3N2,Be3N2,Ceramics,55.0499,200,6000,"L, a, b",4,1.396,tpis96,"CrII,cubic. Gurvich,1996a pt1 p384 pt2 p309."
Br2,Br2,Other technologically relevant materials,159.808,200,6000,"L, cr",3,0.022,g,"Rhombic. Gurvich,1989 pt2 p314. Chase,1998 p471 (6/82)."
Carbon,C,Other technologically relevant materials,12.0107,200,6000,gr,3,1.242,n,"Graphite. Ref-Elm. TRC(4/83) vc,uc,tc1000-1002."
Calcium,Ca,Metals and alloys,40.078,200,6000,"L, a, b",4,0.067,srd,"Alpha. Ref-Elm. Alcock,1993."
CaBr2,CaBr2,Other technologically relevant materials,199.886,298.15,6000,"L, cr",2,0.212,tpis96,"Rhombic Gurvich,1996a pt1 p473 pt2 p368."
CaCO3,CaCO3,Other technologically relevant materials,100.0869,200,6000,"L, cr",3,0.992,tpis96,"Hexagonal Gurvich,1996a pt1 p483 pt2 p376."
CaCL2,CaCL2,Other technologically relevant materials,110.984,100,6000,"L, cr",3,3.131,tpis96,"Rhombic. Gurvich,1996a pt1 p467 pt2 p365."
CaF2,CaF2,Other technologically relevant materials,78.0748,200,6000,"L, a, b",6,1.749,tpis96,"CrII,cubic.Gurvich,1996a pt1 p461 pt2 p361."
CaH2,CaH2,Other technologically relevant materials,42.0939,298.15,6000,"L, a, b",3,0,tpis96,"CrII,rhombic Gurvich,1996a pt1 p449 pt2 p354."
CaI2,CaI2,Other technologically relevant materials,293.8869,200,6000,"L, cr",3,0.817,tpis96,"Hexagonal Gurvich,1996a pt1 p476 pt2 p371."
CaO,CaO,Refractories,56.0774,200,6000,"L, cr",3,1.855,tpis96,"Cubic Gurvich,1996a pt1 p442 pt2 p348."
Ca(OH)2,Ca(OH)2,Other technologically relevant materials,74.0927,100,6000,"L, cr",3,1.346,tpis96,"Hexagonal Gurvich,1996a pt1 p454 pt2 p357."
CaS,CaS,Other technologically relevant materials,72.143,200,6000,"L, cr",3,0.732,tpis96,"Cubic Gurvich,1996a pt1 p478 pt2 p373."
CaSO4,CaSO4,Other technologically relevant materials,136.1406,200,6000,"I, II, L",4,0.714,tpis96,"Rhombic Gurvich,1996a pt1 p481 pt2 p375."
Cadmium,Cd,Metals and alloys,112.411,100,6000,"L, cr",4,2.416,coda89,"Crystal. Ref-Elm. Cox,1989 p223."
Cobalt,Co,Metals and alloys,58.9332,200,6000,"L, a, b",7,1.649,j,"Alpha. Ref-Elm. Chase,1998 pp943-6."
Chromium,Cr,Metals and alloys,51.9961,200,6000,"L, cr",4,0.303,j,"Below lambda trans. Ref-Elm. Chase,1998 pp959-62."
CrN,CrN,Ceramics,66.0028,200,2500,cr,3,0.39,j12/73,"Chase,1998 p966."
Cr2N,Cr2N,Ceramics,117.9989,298.15,2500,cr,3,0.598,j12/73,JPCRD 1998 Mono.9 p971.
Cr2O3,Cr2O3,Refractories,151.9904,200,6000,"I, I', L",6,2.65,tpis82,"Hexagonal. Gurvich,1982 pt1 p18 pt2 p22."
Cesium,Cs,Metals and alloys,132.9055,100,2000,"L, cr",3,1.338,coda89,"Crystal. Ref-Elm. Cox,1989 p263."
CsBO2,CsBO2,Ceramics,175.7152,200,6000,"L, cr",3,2.687,tpis82,"Cubic. Gurvich,1982 pt1 p504 pt2 p525."
CsBr,CsBr,Other technologically relevant materials,212.8094,200,6000,"L, cr",3,0.082,tpis82,"Cubic. Gurvich,1982 pt1 p488 pt2 p511."
CsCL,CsCL,Other technologically relevant materials,168.3585,200,6000,"L, a, b",4,0.167,tpis82,"Cubic. Gurvich,1982 pt1 p485 pt2 p508."
CsF,CsF,Other technologically relevant materials,151.9039,200,6000,"L, cr",3,0.818,tpis82,"Cubic. Gurvich,1982 pt1 p481 pt2 p505."
CsH,CsH,Other technologically relevant materials,133.9134,298.15,6000,"L, cr",2,0.356,tpis82,"Cubic. Gurvich,1982 pt1 p476 pt2 p500."
CsI,CsI,Other technologically relevant materials,259.8099,200,6000,"L, cr",3,0.287,tpis82,"Cubic. Gurvich,1982 pt1 p492 pt2 p514."
CsNO2,CsNO2,Other technologically relevant materials,178.911,298.15,6000,"I, L",2,0,tpis82,"Cubic. Gurvich,1982 pt1 p498 pt2 p519."
CsNO3,CsNO3,Other technologically relevant materials,194.9103,200,6000,"L, a, b",3,0.87,tpis82,"Hexagonal. Gurvich,1982 pt1 p500 pt2 p521."
CsOH,CsOH,Other technologically relevant materials,149.9128,100,6000,"L, b, c",6,1.106,g,"Beta. Gurvich,1997."
CsO2,CsO2,Other technologically relevant materials,164.9042,298.15,6000,"L, a, c",3,0,tpis82,"Tetragonal. Gurvich,1982 pt1 p472 pt2 p494."
Cs2CO3,Cs2CO3,Other technologically relevant materials,325.8198,200,6000,"L, cr",3,0.927,tpis82,"Gurvich,1982 pt1 p502 pt2 p523."
Cs2O,Cs2O,Other technologically relevant materials,281.8103,200,6000,"L, cr",3,0.35,tpis82,"Hexagonal. Gurvich,1982 pt1 p472 pt2 p495."
Cs2O2,Cs2O2,Other technologically relevant materials,297.8097,298.15,6000,"L, cr",2,0,tpis82,"Rhombic Gurvich,1982 pt1 p475 pt2 p498."
Cs2SO4,Cs2SO4,Other technologically relevant materials,361.8735,200,6000,"L, a, b, c",5,0.337,tpis82,"Rhombohedral. Gurvich,1982 pt1 p496 pt2 p517."
Copper,Cu,Metals and alloys,63.546,200,6000,"L, cr",2,2.077,coda89,"Cubic. Ref-Elm.Cox,1989 p226."
CuBr,CuBr,Other technologically relevant materials,143.45,298.15,1500,"L, a, b, c",5,2.032,g10/00,"Alpha. Pankratz,1984 p177."
CuBr2,CuBr2,Other technologically relevant materials,223.354,298.15,800,cr,1,0.087,g10/00,"Crystal. Pankratz,1984 p181."
CuCL,CuCL,Other technologically relevant materials,98.999,298.15,1700,"L, a, b",4,1.208,g10/00,"Alpha. Pankratz,1984 p182."
CuCL2,CuCL2,Other technologically relevant materials,134.452,298.15,6000,"L, cr",2,0.188,g10/00,"Crystal. Pankratz,1984 p185."
CuF,CuF,Other technologically relevant materials,82.5444,298.15,1300,cr,1,0.151,g10/00,"Crystal. Pankratz,1984 p186."
CuF2,CuF2,Other technologically relevant materials,101.5428,298.15,6000,"L, cr",2,0.269,g10/00,"Crystal. Pankratz,1984 p188."
CuI,CuI,Other technologically relevant materials,190.4505,200,1600,"L, a, b, c",7,3.012,g11/00,"King,1973. Pankratz,1984 p190."
CuO,CuO,Ceramics,79.5454,200,1400,cr,2,1.851,g11/00,"Crystal. King,1973 p56."
Cu(OH)2,Cu(OH)2,Other technologically relevant materials,97.5607,298.15,2000,cr,1,0.859,g10/00,"Crystal. King,1973 p62."
CuS,CuS,Other technologically relevant materials,95.611,298.15,717.82,cr,1,0.213,g10/00,"Crystal. Pankratz,1987 p99."
CuSO4,CuSO4,Other technologically relevant materials,159.6086,200,1500,cr,2,1.161,g10/00,"Crystal. King,1973 p68."
Cu2O,Cu2O,Ceramics,143.0914,200,6000,"L, cr",3,0.563,g10/00,"Crystal. King,1973 p60."
Cu2S,Cu2S,Other technologically relevant materials,159.157,298.15,6000,"L, a, b, c",4,0.041,g10/00,"Alpha. Pankratz,1987 p101."
Iron,Fe,Metals and alloys,55.845,200,6000,"L, a, c, d",8,0.89,j,"Alpha. Ref-Elm.Below Lambda trans. Chase,1998 p1221."
Fe(CO)5,Fe(CO)5,Other technologically relevant materials,195.8955,253.1,6000,L,1,0,j,"Liquid. Chase,1998 p697."
FeCL2,FeCL2,Other technologically relevant materials,126.751,200,6000,"L, cr",2,1.384,j12/70,"Crystal. Chase,1998 pp819-21."
FeCL3,FeCL3,Other technologically relevant materials,162.204,200,6000,"L, cr",3,0.034,g12/00,"Pankratz,1984 p228. Stuve,1980."
Fe.947O,Fe.947O,Ceramics,69.0521,298.15,6000,"L, cr",2,2.203,g11/00,"Wustite. Pankratz,1983 p155."
FeOCL,FeOCL,Other technologically relevant materials,107.2974,200,700,cr,2,0.83,g12/00,"Stuve,1980."
Fe(OH)2,Fe(OH)2,Other technologically relevant materials,89.8597,298.15,1500,cr,2,0.062,j,"Crystal. Chase,1998 p1229."
Fe(OH)3,Fe(OH)3,Other technologically relevant materials,106.867,298.15,1500,cr,1,1.122,j,"Crystal. Chase,1998 p1231."
FeS,FeS,Other technologically relevant materials,87.91,200,6000,"L, a, b, c",4,2.697,g11/00,"Alpha. Pankratz,1987. Chase,1998 pp1241-3 9/77."
FeSO4,FeSO4,Other technologically relevant materials,151.9076,200,2000,cr,2,1.33,j,"Chase,1998 p1240."
FeS2,FeS2,Other technologically relevant materials,119.975,200,1400,cr,2,0.769,j,"Pyrite. Chase,1998 p1246."
Fe2O3,Fe2O3,Ceramics,159.6882,298.15,6000,cr,4,2.281,g,"Hematite below Curie pt. Pankratz,1983 p158."
Fe2(SO4)3,Fe2(SO4)3,Other technologically relevant materials,399.8778,298.15,2000,cr,2,0.494,j,"Chase,1998 p1249."
Fe3O4,Fe3O4,Ceramics,231.5326,200,6000,"L, cr",5,0.951,g,"Magnetite. Pankratz,1983 p160. Westrum,1969."
Gallium,Ga,Metals and alloys,69.723,100,6000,"L, cr",3,2.898,tpis96,"Rhombic. Ref-Elm. Gurvich,1996a pt1 p209 pt2 p169."
GaBr3,GaBr3,Other technologically relevant materials,309.435,298.15,6000,"L, cr",2,0,tpis96,"Gurvich,1996a pt1 p242 pt2 p195."
GaCL3,GaCL3,Other technologically relevant materials,176.082,298.15,6000,"L, cr",2,0,tpis96,"Triclinic. Gurvich,1996a pt1 p234 pt2 p188."
GaF3,GaF3,Other technologically relevant materials,126.7182,298.15,2000,cr,1,0,tpis96,"Hexagonal. Gurvich,1996a pt1 p226 pt2 p181."
Ga2O3,Ga2O3,Ceramics,187.4442,200,6000,"L, cr",3,2.677,tpis96,"Monoclinic. Gurvich,1996a pt1 p219 pt2 p176."
Germanium,Ge,Semiconductors,72.64,200,6000,"L, cr",3,0.64,tpis91,"Cubic. Ref-Elm. Gurvich,1991 pt1 p308 pt2 p268."
GeO2,GeO2,Ceramics,104.6388,100,6000,"I, II, L",5,3.509,tpis91,"Tetragonal Rutile, Gurvich,1991 pt1 p319 pt2 p275."
GeS,GeS,Other technologically relevant materials,104.705,100,6000,"L, cr",3,2.089,tpis91,"Crystal(II). Gurvich,1991 pt1 p342 pt2 p296."
GeS2,GeS2,Other technologically relevant materials,136.77,100,6000,"II, L",3,2.186,tpis91,"Crystal II. Gurvich,1991 pt1 p345 pt2 p298."
HBO2,HBO2,Ceramics,43.8177,298.15,6000,"L, cr",2,0,tpis96,"Crystal,metaboric acid. Gurvich,1996a pt1 p41 pt2 p25."
H2O,H2O,Other technologically relevant materials,18.0153,200,600,"L, cr",3,2.811,g11/99,"Ice. Gordon,1982."
H2SO4,H2SO4,Other technologically relevant materials,98.0785,283.46,1000,L,1,0.041,j,"Chase,1998 p1335."
H3BO3,H3BO3,Ceramics,61.833,200,6000,"L, cr",2,3.269,tpis96,"Triclinic,orthoboric acid. Gurvich,1996a pt1 p48 pt2 p31."
H3PO4,H3PO4,Other technologically relevant materials,97.9952,200,1000,"L, cr",2,0.003,j12/71,"Crystal,Phosphoric acid. Chase,1998 p1345-7."
Mercury,Hg,Metals and alloys,200.59,100,2000,"L, cr",3,0.339,j12/61,"Tetragonal. Ref-Elm. Chase,1998 pp1373-4."
HgBr2,HgBr2,Other technologically relevant materials,360.398,298.15,6000,"L, cr",2,0.167,g12/00,"Chase,1998 p482 3/62. Pankratz,1984 p302."
HgO,HgO,Other technologically relevant materials,216.5894,200,1000,cr,2,0.054,j,"Chase,1998 p1382."
I2,I2,Other technologically relevant materials,253.8089,200,6000,"L, cr",2,0.545,tpis89,"Rhombic. Ref-Elm. Gurvich,1989 pt1 p219 pt2 p315."
Indium,In,Metals and alloys,114.818,100,6000,"L, cr",2,3.143,tpis96,"Tetragonal. Ref-Elm. Gurvich,1996a pt1 255 pt2 p207."
InBr3,InBr3,Other technologically relevant materials,354.53,298.15,6000,"L, cr",2,0,tpis96,"Gurvich,1996a pt1 p292 pt2 p235."
InCL,InCL,Other technologically relevant materials,150.271,298.15,6000,"L, crI, crII",3,0,tpis96,"Cubic Gurvich,1996a pt1 p280 pt2 p224."
InCl3,InCl3,Other technologically relevant materials,221.177,298.15,6000,"L, cr",2,0,tpis96,"Monoclinic Gurvich,1996a pt1 p284 pt2 p227."
InF3,InF3,Other technologically relevant materials,171.8132,298.15,6000,"L, cr",2,0,tpis96,"Hexagonal Gurvich,1996a pt1 p274 pt2 p219."
InI3,InI3,Other technologically relevant materials,495.5314,296,6000,"L, cr",2,0,tpis96,"Monoclinic Gurvich,1996a pt1 p301 pt2 p244."
In2O3,In2O3,Ceramics,277.6342,200,6000,"L, cr",3,1.129,tpis96,"Cubic. Gurvich,1996a pt1 p267 pt2 p214."
Potassium,K,Metals and alloys,39.0983,200,2200,"L, cr",2,0.439,coda89,"Cubic. Ref-Elm. Cox,1989 p257."
KALO2,KALO2,Ceramics,98.0786,200,6000,"I, II, L",4,0.335,tpis82,"Cubic Gurvich,1982 pt1 p416 pt2 p440."
KBO2,KBO2,Ceramics,81.9081,200,6000,"L, cr",3,1.782,tpis82,"Hexagonal. Gurvich,1982 pt1 p414 pt2 p438."
KBr,KBr,Other technologically relevant materials,119.0023,200,6000,"L, cr",3,0.902,tpis82,"Cubic. Gurvich,1982 pt1 p394 pt2 p422."
KCN,KCN,Other technologically relevant materials,65.1157,168.3,6000,"II, L",3,0.126,j,"Chase,1998 pp617-9."
KCL,KCL,Other technologically relevant materials,74.5513,200,6000,"L, cr",3,0.123,tpis82,"Cubic. Gurvich,1982 pt1 p390 pt2 p419."
KF,KF,Other technologically relevant materials,58.0967,200,6000,"L, cr",3,0.995,tpis82,"Cubic. Gurvich,1982 pt1 p387 pt2 p416."
KH,KH,Other technologically relevant materials,40.1062,298.15,6000,"L, cr",2,0.679,tpis82,"Cubic. Gurvich,1982 pt1 p381 pt2 p411."
KI,KI,Other technologically relevant materials,166.0028,200,6000,"L, cr",3,0.406,tpis82,"Cubic. Gurvich,1982 pt1 p398 pt2 p425."
KNO2,KNO2,Other technologically relevant materials,85.1038,200,6000,"I, II, L",4,0.612,tpis82,"Hexagonal. Gurvich,1982 pt1 p404 pt2 p430."
KNO3,KNO3,Other technologically relevant materials,101.1032,200,6000,"L, a, b",3,0.425,tpis82,"Rhombic. Gurvich,1982 pt1 p407 pt2 p432."
KOH,KOH,Other technologically relevant materials,56.1056,100,6000,"L, a, b, c",5,2.914,g,"Alpha,beta. Gurvich,1997 p1031."
KO2,KO2,Other technologically relevant materials,71.0971,200,6000,"L, a, b",3,3.004,tpis82,"Tetragonal. Gurvich,1982 pt1 p375 pt2 p405."
K2CO3,K2CO3,Other technologically relevant materials,138.2055,200,6000,"L, a, b",3,0.097,tpis82,"Monoclinic. Gurvich,1982 pt1 p410 pt2 p434."
K2O,K2O,Other technologically relevant materials,94.196,298.15,6000,"L, a, b, c",4,0,tpis82,"III Cubic. Gurvich,1982 pt1 p377 pt2 p406."
K2O2,K2O2,Other technologically relevant materials,110.1954,298.15,6000,"L, cr",2,0,tpis82,"Rhombic. Gurvich,1982 pt1 p379 pt2 p409."
K2S,K2S,Other technologically relevant materials,110.2616,298.15,6000,"L, cr",6,2.322,j,"Below lambda. Chase,1998 pp1486-8."
K2SO4,K2SO4,Other technologically relevant materials,174.2592,200,6000,"I, II, L",4,0.728,tpis82,"Rhombic. Gurvich,1982 pt1 p402 pt2 p428."
K2SiO3,K2SiO3,Ceramics,154.2803,200,6000,"L, cr",3,0.501,tpis82,"Rhombic. Gurvich,1982 pt1 p412 pt2 p436."
K2Si2O5,K2Si2O5,Ceramics,214.3646,200,6000,"L, a, b, c",4,0.46,tpis82,"III. Gurvich,1982 pt1 p413 pt2 p437."
K3ALF6,K3ALF6,Other technologically relevant materials,258.2669,298.15,6000,"I, II, L",3,0,tpis82,"Tetragonal. Gurvich,1982 pt1 p418 pt2 p442."
Lithium,Li,Metals and alloys,6.941,200,6000,"L, cr",3,1.272,tpis82,"Crystal. Ref-Elm. Gurvich,1982 pt1 p245 pt2 p286."
LiALO2,LiALO2,Ceramics,65.9213,200,6000,"L, cr",3,0.755,j12/79,"Chase,1998 pp126-8."
LiBO2,LiBO2,Ceramics,49.7508,200,6000,"L, cr",3,0.701,tpis82,"Monoclinic. Gurvich,1982 pt1 p298 pt2 p331."
LiBr,LiBr,Other technologically relevant materials,86.845,200,6000,"L, cr",3,0.36,tpis82,"Cubic. Gurvich,1982 pt1 p284 pt2 p317."
LiCL,LiCL,Other technologically relevant materials,42.394,200,6000,"L, cr",3,0.816,tpis82,"Cubic. Gurvich,1982 pt1 p279 pt2 p313."
LiF,LiF,Other technologically relevant materials,25.9394,200,6000,"L, cr",3,0.241,tpis82,"Cubic. Gurvich,1982 pt1 p273 pt2 p309."
LiH,LiH,Other technologically relevant materials,7.9489,200,6000,"L, cr",3,1.449,tpis82,"Cubic. Gurvich,1982 pt1 p263 pt2 p300."
LiI,LiI,Other technologically relevant materials,133.8455,200,6000,"L, cr",3,0.378,tpis82,"Cubic. Gurvich,1982 pt1 p287 pt2 p321."
LiNO2,LiNO2,Other technologically relevant materials,52.9465,298.15,6000,"I, II, L",3,0,tpis82,"Crystal. Gurvich,1982 pt1 p292 pt2 p326."
LiNO3,LiNO3,Other technologically relevant materials,68.9459,298.15,6000,"L, cr",2,0,tpis82,"Hexagonal. Gurvich,1982 pt1 p294 pt2 p328."
LiOH,LiOH,Other technologically relevant materials,23.9483,200,6000,"L, cr",2,2.215,g,"Tetragonal. Gurvich,1996b."
Li2CO3,Li2CO3,Other technologically relevant materials,73.8909,200,6000,"L, cr",3,3.538,tpis82,"Monoclinic. Gurvich,1982 pt1 p297 pt2 p330."
Li2O,Li2O,Other technologically relevant materials,29.8814,200,6000,"L, cr",3,1.318,tpis82,"Cubic. Gurvich,1982 pt1 p257 pt2 p295."
Li2O2,Li2O2,Other technologically relevant materials,45.8808,298.15,1000,cr,1,0,tpis82,"Hexagonal. Gurvich,1982 pt1 p261 pt2 p298."
Li2SO4,Li2SO4,Other technologically relevant materials,109.9446,200,6000,"L, a, b",4,0.967,tpis82,"Alpha. Gurvich,1982 pt1 p291 pt2 p325."
Li3ALF6,Li3ALF6,Other technologically relevant materials,161.795,200,6000,"I, II, III, IV, L",6,0.355,tpis82,"Rhombic. Gurvich,1982 pt1 p301 pt2 p334."
Li3N,Li3N,Other technologically relevant materials,34.8297,200,1300,cr,2,1.957,j,"Chase,1998 p1526."
Magnesium,Mg,Metals and alloys,24.305,100,6000,"L, cr",3,1.211,srd,"Hexagonal. Ref-Elm. Alcock,1993."
MgAL2O4,MgAL2O4,Refractories,142.2657,200,6000,"L, cr",3,1.915,j12/79,"Crystal. Chase,1998 pp147-9."
MgBr2,MgBr2,Other technologically relevant materials,184.113,298.15,6000,"L, cr",2,0.473,tpis96,"Hexagonal. Gurvich,1996a pt1 p418 pt2 p332."
MgCO3,MgCO3,Other technologically relevant materials,84.3139,200,6000,"L, cr",3,0.697,tpis96,"Hexagonal. Gurvich,1996a pt1 p429 pt2 p341."
MgCL2,MgCL2,Other technologically relevant materials,95.211,200,6000,"L, cr",3,1.142,tpis96,"Hexagonal. Gurvich,1996a pt1 p413 pt2 p329."
MgF2,MgF2,Other technologically relevant materials,62.3018,200,6000,"L, cr",3,1.55,tpis96,"Tetragonal. Gurvich,1996a pt1 p410 pt2 p326."
MgH2,MgH2,Other technologically relevant materials,26.3209,200,6000,"L, b",4,1.232,tpis96,"Beta,tetragonal. Gurvich,1996a pt1 p402 pt2 p321."
MgI2,MgI2,Other technologically relevant materials,278.1139,298.15,6000,"L, cr",2,0,tpis96,"Hexagonal. Gurvich,1996a pt1 p422 pt2 p335."
MgO,MgO,Refractories,40.3044,200,6000,"L, cr",3,1.553,tpis96,"Cubic Gurvich,1996a pt1 p397 pt2 p317."
Mg(OH)2,Mg(OH)2,Other technologically relevant materials,58.3197,200,6000,"L, cr",3,1.29,tpis96,"Hexagonal. Gurvich,1996a pt1 p405 pt2 p323."
MgS,MgS,Other technologically relevant materials,56.37,200,6000,"L, cr",3,0.351,tpis96,"Cubic. Gurvich,1996a pt1 p424 pt2 p337."
MgSO4,MgSO4,Other technologically relevant materials,120.3676,200,6000,"I, II, L",4,1.069,tpis96,"CrII,rhombic. Gurvich,1996a pt1 p426 pt2 p339."
MgSiO3,MgSiO3,Refractories,100.3887,200,6000,"I, II, III, L",4,3.577,j12/67,"Chase,1998 pp1540-2."
MgTiO3,MgTiO3,Ceramics,120.1702,200,6000,"L, cr",3,1.239,j,"Chase,1998 pp1543-5."
MgTi2O5,MgTi2O5,Ceramics,200.036,200,6000,"L, cr",3,2.38,g11/00,"Todd,1952. Chase,1998 pp1550-1552 6/67."
Mg2SiO4,Mg2SiO4,Refractories,140.6931,200,6000,"L, cr",3,1.767,g11/00,"Chase,1998 pp1556-8 12/67."
Mg2TiO4,Mg2TiO4,Ceramics,160.4746,200,6000,"L, cr",3,2.734,g11/00,"Chase,1998 pp1559-61 6/67."
